pre_creativity_goals,pre_hard_job,pre_creativity_selft_results,pre_self_success,pre_creativity_success,pre_creativity_multi_task,pre_creativity_others,pre_creativity_hard,post_creativity_goals,post_hard_job,post_creativity_selft_results,post_self_success,post_creativity_success,post_creativity_multi_task,post_creativity_others,post_creativity_hard,hours_subject,p_motivation_subject,hours_extra,p_motivation_extra,training_training,personal_impact,advantage_work,increase_pride_espol,increase_pride_career,like_participate,recommend_others
5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,4,3,1,3,1,4,5,5,4,5,5,5
3,1,3,1,3,2,2,1,3,3,3,3,3,4,4,4,3,2,3,4,3,3,3,3,3,5,4
5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2,1,3,1,5,5,3,5,4,5,5
5,4,4,4,5,4,4,4,5,4,4,5,5,4,3,4,3,4,2,2,5,4,3,5,5,3,5
5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,1,2,1,1,5,5,5,5,5,5,5
4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3,1,4,5,4,3,4,5,5
4,4,4,4,4,4,3,3,4,4,4,5,5,5,4,4,3,3,2,1,5,5,4,4,4,5,5
4,4,5,5,4,4,3,4,4,4,4,4,4,4,4,4,3,1,3,1,5,4,5,5,5,5,5
5,4,5,4,4,5,4,4,5,4,4,5,5,5,4,4,2,1,1,1,5,5,5,5,5,5,5
4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3,1,5,4,4,4,5,5,5
